date,warehouse_id,product_id,current_stock,temperature
2024-01-07,W01,P0030,534,21.90550061989328
2024-01-14,W01,P0030,180,22.91321489174482
2024-01-21,W01,P0030,757,24.891958139895216
2024-01-28,W01,P0030,674,20.847275583676133
2024-02-04,W01,P0030,353,21.331371481548146
2024-02-11,W01,P0030,885,21.456169402125358
2024-02-18,W01,P0030,705,24.406091686646505
2024-02-25,W01,P0030,907,19.787582987980773
2024-03-03,W01,P0030,697,22.68414419324867
2024-03-10,W01,P0030,988,18.039945835917596
2024-03-17,W01,P0030,239,22.552014394658297
2024-03-24,W01,P0030,932,21.170242453765756
2024-03-31,W01,P0030,653,20.09623226248173
2024-04-07,W01,P0030,776,19.747279746970644
2024-04-14,W01,P0030,648,21.281475525506327
2024-04-21,W01,P0030,655,20.917788277721744
2024-04-28,W01,P0030,737,22.315480328687595
2024-05-05,W01,P0030,369,19.63264413129093
2024-05-12,W01,P0030,100,20.899440310492032
2024-05-19,W01,P0030,161,23.533615704232325
2024-05-26,W01,P0030,771,21.639299982862138
2024-06-02,W01,P0030,569,20.137531256955302
2024-06-09,W01,P0030,149,20.95916895251831
2024-06-16,W01,P0030,913,20.688863900432505
2024-06-23,W01,P0030,755,19.10052133149549
2024-06-30,W01,P0030,855,24.003353206348876
2024-07-07,W01,P0030,302,19.455933142091684
2024-07-14,W01,P0030,99,20.416124798531808
2024-07-21,W01,P0030,462,23.444254387251398
2024-07-28,W01,P0030,988,21.596022276898974
2024-08-04,W01,P0030,552,20.686688496060416
2024-08-11,W01,P0030,158,22.126129076585855
2024-08-18,W01,P0030,46,21.006444981557216
2024-08-25,W01,P0030,17,23.78387873444544
2024-09-01,W01,P0030,990,20.764401172967712
2024-09-08,W01,P0030,317,22.25612729698829
2024-09-15,W01,P0030,895,24.327053695427576
2024-09-22,W01,P0030,57,20.341581430780064
2024-09-29,W01,P0030,961,22.82019406088515
2024-10-06,W01,P0030,717,22.026102239749193
2024-10-13,W01,P0030,538,20.037790853622983
2024-10-20,W01,P0030,35,22.845009291208125
2024-10-27,W01,P0030,934,20.71039988343307
2024-11-03,W01,P0030,906,17.505048207046364
2024-11-10,W01,P0030,848,20.793388824743225
2024-11-17,W01,P0030,731,21.14795341358144
2024-11-24,W01,P0030,758,22.12610057564103
2024-12-01,W01,P0030,634,23.687282979465415
2024-12-08,W01,P0030,676,21.33562797754735
2024-12-15,W01,P0030,937,20.259644373402008
2024-12-22,W01,P0030,986,25.12701410333355
2024-12-29,W01,P0030,913,23.148032021184388
2025-01-05,W01,P0030,66,23.948988320213758
2025-01-12,W01,P0030,723,19.257831123962816
2025-01-19,W01,P0030,680,20.406501420341712
2025-01-26,W01,P0030,918,21.707824698325265
2025-02-02,W01,P0030,958,20.81200974276912
2025-02-09,W01,P0030,834,21.343233295178614
2025-02-16,W01,P0030,251,20.351458385275325
2025-02-23,W01,P0030,58,20.755360184397972
2025-03-02,W01,P0030,399,20.873409928975377
2025-03-09,W01,P0030,762,20.65437255141948
2025-03-16,W01,P0030,558,20.293441432226018
2025-03-23,W01,P0030,117,25.070260014921832
2025-03-30,W01,P0030,216,19.061002388077355
2025-04-06,W01,P0030,304,21.65707958733503
2025-04-13,W01,P0030,192,20.735721623578428
2025-04-20,W01,P0030,152,23.069177715429134
2025-04-27,W01,P0030,792,23.082049562519558
2025-05-04,W01,P0030,545,23.98876778652175
2025-05-11,W01,P0030,979,19.99132652207362
2025-05-18,W01,P0030,423,21.453925011978377
2025-05-25,W01,P0030,187,16.000571126397404
2025-06-01,W01,P0030,259,25.20382254052888
2025-06-08,W01,P0030,908,20.01846035209178
2025-06-15,W01,P0030,348,25.007400636870585
2025-06-22,W01,P0030,544,22.569386641468615
2025-06-29,W01,P0030,514,19.480533157680036
2025-07-06,W01,P0030,907,23.175330317696215
2025-07-13,W01,P0030,31,22.02040425510692
2025-07-20,W01,P0030,656,21.33875982160593
2025-07-27,W01,P0030,276,22.520738460985797
2025-08-03,W01,P0030,258,18.569455469974574
2025-08-10,W01,P0030,604,21.64464731699526
2025-08-17,W01,P0030,868,19.6273103907335
2025-08-24,W01,P0030,245,19.948364692317988
2025-08-31,W01,P0030,508,18.30403505719627
2025-09-07,W01,P0030,16,21.549213905885644
2025-09-14,W01,P0030,832,22.41756414259136
2025-09-21,W01,P0030,405,20.89744621109914
2025-09-28,W01,P0030,896,20.05423868717466
2025-10-05,W01,P0030,599,20.03259535248075
2025-10-12,W01,P0030,694,21.755844214525812
2025-10-19,W01,P0030,452,22.631005587799052
2025-10-26,W01,P0030,838,18.370017667546165
2025-11-02,W01,P0030,513,20.828133742588186
2025-11-09,W01,P0030,878,23.120177159724598
2025-11-16,W01,P0030,304,17.789526832522455
2025-11-23,W01,P0030,367,23.07354303360607
2025-11-30,W01,P0030,571,23.104978695340684
2024-01-07,W01,P0005,224,21.086295698998242
2024-01-14,W01,P0005,783,25.807958681662363
2024-01-21,W01,P0005,996,21.084338621150106
2024-01-28,W01,P0005,549,23.501678104436888
2024-02-04,W01,P0005,255,20.698324703572077
2024-02-11,W01,P0005,669,20.416745567812654
2024-02-18,W01,P0005,464,20.927047096998624
2024-02-25,W01,P0005,290,23.407787754039955
2024-03-03,W01,P0005,572,24.728883201340594
2024-03-10,W01,P0005,333,23.430296669040114
2024-03-17,W01,P0005,895,18.287471436650222
2024-03-24,W01,P0005,137,21.565853103932902
2024-03-31,W01,P0005,117,20.949852739980436
2024-04-07,W01,P0005,601,21.54168773779615
2024-04-14,W01,P0005,959,20.378940835606503
2024-04-21,W01,P0005,111,23.37359193746435
2024-04-28,W01,P0005,214,17.779345890094827
2024-05-05,W01,P0005,737,22.788652677398378
2024-05-12,W01,P0005,45,21.353387764025527
2024-05-19,W01,P0005,414,21.008461350281966
2024-05-26,W01,P0005,928,21.169240322323777
2024-06-02,W01,P0005,951,23.28563184413594
2024-06-09,W01,P0005,17,21.47828446411009
2024-06-16,W01,P0005,247,18.211447129337447
2024-06-23,W01,P0005,687,20.426011288774752
2024-06-30,W01,P0005,914,23.358372328629972
2024-07-07,W01,P0005,701,20.367699007532664
2024-07-14,W01,P0005,516,21.377302590282987
2024-07-21,W01,P0005,685,22.4820954941025
2024-07-28,W01,P0005,629,21.3280917358283
2024-08-04,W01,P0005,711,23.32801792520359
2024-08-11,W01,P0005,120,22.234364007167223
2024-08-18,W01,P0005,793,18.060408700608185
2024-08-25,W01,P0005,982,18.519185511594937
2024-09-01,W01,P0005,925,23.739682439126035
2024-09-08,W01,P0005,986,23.9248978751031
2024-09-15,W01,P0005,945,21.41805087417361
2024-09-22,W01,P0005,373,22.88777816401496
2024-09-29,W01,P0005,969,18.363471769967692
2024-10-06,W01,P0005,452,25.469662657479244
2024-10-13,W01,P0005,456,21.421554119336104
2024-10-20,W01,P0005,407,21.064452378423105
2024-10-27,W01,P0005,13,19.489246922019582
2024-11-03,W01,P0005,406,24.026649396313964
2024-11-10,W01,P0005,934,21.341440353224936
2024-11-17,W01,P0005,111,21.174781821221355
2024-11-24,W01,P0005,200,20.472397762400718
2024-12-01,W01,P0005,487,22.507532349022352
2024-12-08,W01,P0005,698,19.45114388512893
2024-12-15,W01,P0005,338,24.844158527209373
2024-12-22,W01,P0005,82,19.351136937730292
2024-12-29,W01,P0005,334,23.068378688410615
2025-01-05,W01,P0005,658,19.12421007310571
2025-01-12,W01,P0005,669,21.480263913720485
2025-01-19,W01,P0005,581,23.017484803338785
2025-01-26,W01,P0005,442,21.672717959675083
2025-02-02,W01,P0005,440,23.228302385227416
2025-02-09,W01,P0005,986,19.32400074704194
2025-02-16,W01,P0005,704,22.749833159605217
2025-02-23,W01,P0005,546,24.02846327282807
2025-03-02,W01,P0005,329,18.780277919770295
2025-03-09,W01,P0005,306,19.262349070672492
2025-03-16,W01,P0005,316,19.596110172863753
2025-03-23,W01,P0005,455,23.04661538242028
2025-03-30,W01,P0005,3,21.565155079030884
2025-04-06,W01,P0005,185,20.545071851610597
2025-04-13,W01,P0005,869,23.325096373394086
2025-04-20,W01,P0005,660,25.092587237455227
2025-04-27,W01,P0005,42,21.957797084677146
2025-05-04,W01,P0005,661,21.993050632434105
2025-05-11,W01,P0005,783,20.118383549046406
2025-05-18,W01,P0005,589,21.96728801501271
2025-05-25,W01,P0005,46,19.81712026423499
2025-06-01,W01,P0005,386,19.18135075267175
2025-06-08,W01,P0005,780,19.262498596629598
2025-06-15,W01,P0005,286,20.988626251888444
2025-06-22,W01,P0005,382,23.879078097799987
2025-06-29,W01,P0005,230,23.68003842957823
2025-07-06,W01,P0005,449,22.496313229778327
2025-07-13,W01,P0005,103,21.803267954549156
2025-07-20,W01,P0005,995,24.973357113086358
2025-07-27,W01,P0005,540,22.987177197403962
2025-08-03,W01,P0005,408,20.92690060934814
2025-08-10,W01,P0005,247,21.751815594028592
2025-08-17,W01,P0005,818,21.168256472553296
2025-08-24,W01,P0005,569,20.553981549596898
2025-08-31,W01,P0005,651,21.039448168264926
2025-09-07,W01,P0005,754,17.776142479750813
2025-09-14,W01,P0005,484,19.49575116018277
2025-09-21,W01,P0005,803,21.877620522625318
2025-09-28,W01,P0005,761,21.61749907990203
2025-10-05,W01,P0005,775,24.901561460525286
2025-10-12,W01,P0005,712,26.082657491701763
2025-10-19,W01,P0005,871,18.66885657785666
2025-10-26,W01,P0005,43,22.840492392266807
2025-11-02,W01,P0005,174,20.88968724604297
2025-11-09,W01,P0005,158,22.29174250106714
2025-11-16,W01,P0005,606,20.263485005953495
2025-11-23,W01,P0005,1,24.291375971093608
2025-11-30,W01,P0005,747,24.22959558373025
2024-01-07,W01,P0014,397,24.010911842763264
2024-01-14,W01,P0014,373,23.247808340433977
2024-01-21,W01,P0014,765,24.677650985786073
2024-01-28,W01,P0014,994,24.08163963164423
2024-02-04,W01,P0014,814,23.886128142344145
2024-02-11,W01,P0014,334,23.949101569694747
2024-02-18,W01,P0014,572,22.794177405479722
2024-02-25,W01,P0014,481,21.671327067716962
2024-03-03,W01,P0014,516,22.844326691082294
2024-03-10,W01,P0014,652,19.095742778749674
2024-03-17,W01,P0014,99,23.506606825024395
2024-03-24,W01,P0014,257,20.844983601985287
2024-03-31,W01,P0014,984,20.858005793374893
2024-04-07,W01,P0014,496,23.440562405570255
2024-04-14,W01,P0014,248,21.92884435398687
2024-04-21,W01,P0014,654,20.28915543654637
2024-04-28,W01,P0014,518,19.732997066100417
2024-05-05,W01,P0014,891,18.061011594419742
2024-05-12,W01,P0014,2,22.37912233110587
2024-05-19,W01,P0014,729,21.04674397608479
2024-05-26,W01,P0014,676,23.00140316710834
